# Pin Out For ECP5U-25,,,,,,,,,,
# Revision 1.1 - Include CABGA256 package,,,,,,,,,,
"# Revised Oct. 17, 2017",,,,,,,,,,
,,,,,,,,,,
PAD,Bank,Pin/Ball Function,,Dual Function,,High Speed,,DQS,DESC,CABGA256
106,8,PB4B,/,D6/IO6,/,-,,,PB4B/D6/IO6/-,R6
107,8,PB6B,/,D4/MOSI2/IO4,/,-,,,PB6B/D4/MOSI2/IO4/-,P7
109,8,PB9A,/,D3/IO3,/,+,,,PB9A/D3/IO3/+,N7
110,8,PB11A,/,D1/MISO/IO1,/,+,,,PB11A/D1/MISO/IO1/+,T7
112,8,PB9B,/,D2/IO2,/,-,,,PB9B/D2/IO2/-,M7
113,8,PB11B,/,D0/MOSI/IO0,/,-,,,PB11B/D0/MOSI/IO0/-,T8
115,8,PB13A,/,SN/CSN,/,+,,,PB13A/SN/CSN/+,R8
116,8,PB15A,/,HOLDN/DI/BUSY/CSSPIN/CEN,/,+,,,PB15A/HOLDN/DI/BUSY/CSSPIN/CEN/+,N8
118,8,PB13B,/,CS1N,/,-,,,PB13B/CS1N/-,P8
119,8,PB15B,/,DOUT/CSON,/,-,,,PB15B/DOUT/CSON/-,M8
121,8,PB18A,/,WRITEN,,,,,PB18A/WRITEN,M9
122,8,INITN,,,,,,,INITN,T9
124,8,CCLK,/,MCLK/SCK,,,,,CCLK/MCLK/SCK,N9
125,8,PROGRAMN,,,,,,,PROGRAMN,R9
127,8,DONE,,,,,,,DONE,P9
128,8,CFG_1,,,,,,,CFG_1,P10
130,8,CFG_2,,,,,,,CFG_2,R10
131,8,CFG_0,,,,,,,CFG_0,N10
133,40,TDO,,,,,,,TDO,M10
134,40,TCK,,,,,,,TCK,T10
136,40,TDI,,,,,,,TDI,R11
137,40,TMS,,,,,,,TMS,T11
183,3,PR47D,/,LRC_GPLL0C_IN,/,-,/,RDQ44,PR47D/LRC_GPLL0C_IN/-/RDQ44,P12
184,3,PR47C,/,LRC_GPLL0T_IN,/,+,/,RDQ44,PR47C/LRC_GPLL0T_IN/+/RDQ44,P11
186,3,PR47B,,,/,HS-,/,RDQ44,PR47B/HS-/RDQ44,N11
188,3,PR47A,,,/,HS+,/,RDQ44,PR47A/HS+/RDQ44,M11
189,3,PR44D,,,/,-,/,RDQ44,PR44D/-/RDQ44,N12
191,3,PR44B,,,/,HS-,/,RDQSN44,PR44B/HS-/RDQSN44,T13
192,3,PR44C,,,/,+,/,RDQ44,PR44C/+/RDQ44,M12
194,3,PR44A,,,/,HS+,/,RDQS44,PR44A/HS+/RDQS44,R12
195,3,PR41D,,,/,-,/,RDQ44,PR41D/-/RDQ44,T14
